,result,type
7ab28d36a37d008ba814c2fe518552053492a1d4,N,IC
637ea46d2bbdca25a3a62a2ce7b503eb147efad5,N,IC
f1cfcc5bcdc588cb9a6977fbd8b09034bd7b8244,N,IC
393876336d9e5301cb5e796ea40f389140000a39,N,IC
86917e9dff5396432fc42eb5a39f16baad7f3e3b,N,IC
6fbb1ab549dfc83aef6e6e797dcf0370939d6bc8,N,IC
1f428b9544eb3b2936eae9645bf10feafa024fa5,N,IC
c02851bdd6f06c244b35f3c31762fde251b64ceb,N,IC
a0c7edb142b75d92276fb9fa9c0033ea1d583934,N,IC
9f809cd333f6a813f6dfc13b6bc7ab88671b58cb,N,IC
39fd81bca2e4b8b75b8292112fde6a0e0cbb346b,N,IC
db7923c1685ddf0a6ec301f88c9d7ccffe014982,N,IC
db70b226c3315c8752100342a6b2a12a78e883db,N,IC
2facce390963b4e2d17a2e9405c62715ab97bde1,N,IC
d664438ab4431ccfee2c117d3fea79d3c21949db,N,IC
7de83f7a266dd39a000c586bb9d7627e174ca22c,N,IC
43a5a7db29b0efed39b06165acf23e4ca83bc32c,N,IC
5dd5b7fb1eec9c7e5d9feec023ccd1d326c756d9,Y,IC
25b579bee3b70737fc3d4933f8ac2a69a408b4ab,N,IC
25748c95d7a6acc7fe03a7c39e4bd42734cc2953,N,IC
bb80e35a3c6d69ccbf0a93b1a4e298bf022c4270,N,IC
c30e73b933ca688bed4207069a7e2e4464586c11,N,IC
8828c31f64422a5962f727a1e99d0f10be7f38f8,N,IC
15c7b6818b57f60e597b0ab0389c3d6cf255c93d,N,IC
6ea2f89d686ff66eb6f5e7e5cf10ddb291db6dce,N,IC
225039072dc3a20dfdc5b8f6c8b61ebae416674a,N,IC
4e0e8bca5dfd4fa1f058441c27215219d7179145,N,IC
c8ccdc5b8927072fd5ed7d2a75fbb8dbd6507d73,N,IC
bbfef17f091df667100ae3121d465d68b88a8556,N,IC
101862db20e92df1ece4d7af313214d48ef1e78f,N,IC
bf7aeed880e79954c27d88db9ccef071ca7608e2,N,IC
8a8e3af1f908a37eba58daeaaa63d456b281bcd6,N,IC
12706e3462ecc82599d939052bace36eebbcd2ce,N,IC
e67800f42c1316b773bd7ca4a85edb29b9b5c861,N,IC
b8d32696b8e96d7ccf6758352402c674afbf7269,N,IC
aa14566ad201730f51f5c353f2db84a2723abb83,N,IC
3242514c169ae656415a0a247c6e7a80d1e612c2,N,IC
8ad9aae7854850a196d2e8e0bdb169f15c9314dc,N,IC
a823dea8c3c239e406ff7bad619f4fa19ba5d771,N,IC
8424c44f18c82d4e8cc34cdbafbaa7a0469d965e,N,IC
162a90c311abfe554f09dc4b9c080098bd27ad89,N,IC
1cdbdb55b3dca11d46b1ccb53612f6f04cd04650,N,IC
0bf8874818d5f2293b3e4e2b2e3634f8d8b324bf,N,IC
7f6282d10eb5f01ac533c293eead08da397c8633,N,IC
0b01c64744e3536ee2131a4f3ba541c3dd474ebb,N,IC
3c56aa6f595f16e0e5592d6f70c7de45b6a25c83,N,IC
0ed529392bb89d6d55fbe387655638ebcd09d8ab,N,CR
474a7484a66c0283b6023ab1f6b93fdf0398e2a4,N,CR
